title,desc,author
"
                    Arduino智能门锁完全版
                ","
                    上一次的智能门锁是用舵机拉动门插销实现。现在帮别人做了一个小小的毕设，用的是继电器加电磁锁。
                ","Posted by
                    "
"
                    test1
                ","
                    test test test
                ","
                 on 2017-04-16
            "
"
                    MkStone的数据库备份策略
                ","
                    MkStone小站算是初步搭建完成，接下来的事情就是完善。数据库的备份也是一项。
                ","Posted by
                    "
"
                    git基本命令的总结
                ","
                    总结一下git的基本命令。
                ","
                 on 2017-04-02
            "
"
                    自己总结的Mysql基本操作指令
                ","
                    学习后台和运维。正好两方面都涉及到数据库了，所以直接完整系统的学一下数据库，毕竟梦想全栈的男人。
                ","Posted by
                    "
"
                    LAMP+WordPress 博客搭建
                ","
                    注册了一个英文域名 shitouboy.com然后想搭建一个国内的博客。正好熟悉一下LAMP环境的搭建，配置和使用。
                ","
                 on 2017-03-31
            "
"
                    linux运维人员必会开源运维工具
                ","
                    运维的开源工具。很完整，从Google上找到的。
                ","Posted by
                    "
"
                    SIM卡卡号（ICCID ）的含义
                ","
                    以前研究破解sim卡所总结的资料。
                ","Posted by
                    "
"
                    全键盘chrome插件Vimium
                ","
                    新换了一个键盘。接到MacBook Air下使用。浏览网页的时候发现，一边用键盘然后一会还滴换回鼠标，发现好折腾人，突然想起来了这个可以用来浏览网页的Vim插件。
                ","Posted by
                    "
"
                    树莓派和Arduino使用RFID-RC522模块的考勤系统
                ","
                    电子大赛前夕，实验室老师为了督促我们勤进实验室，弄了一个签到表。然后我想，做为电子人，做为一个geek，怎么能这么low。于是用我手头的树莓派和Arduino弄了一个考勤系统。
                ","
                 on 2016-09-18
            "
"
                    树莓派开启SPI总线功能
                ","
                    串行外设接口（Serial Peripheral Interface Bus，SPI），是一种用于短程通信的同步串行通信接口规范，主要应用于单片机系统中。类似I²C。
                ","Posted by
                    "
"
                    树莓派GPIO介绍以及点亮二极管
                ","
                    有人说，学电子的玩Arduino，学计算机的玩树莓派。 而且，在知乎上看见的树莓派的玩法，都是用来当服务器的，当电脑的，很少有人用它的GPIO来做电子方面的“玩具”。在我看来，树莓派最强的部分就是这种软硬结合，能够用内置的Linux系统来控制它的硬件GPIO。算是嵌入式的突出个性产品。
                ","
                 on 2016-07-21
            "
"
                    使用scp协议，远程给树莓派传输小文件
                ","
                    scp是secure copy的简写，用于在Linux下进行远程拷贝文件的命令，和它类似的命令有cp，不过cp只是在本机进行拷贝不能跨服务器，而且scp传输是加密的。
                ","Posted by
                    "
"
                    ssh时报错 WARNING: REMOTE HOST IDENTIFICATION HAS CHANGED!
                ","
                    新买的腾讯云服务器，在ssh登陆之后，重新安装系统，然后在ssh时报错，WARNING: REMOTE HOST IDENTIFICATION HAS CHANGED!
                ","
                 on 2016-07-19
            "
"
                    SSH登陆出现Access Denied或者Permission denied的解决方法
                ","
                    SSH登陆出现Permission denied这个问题，网上有各种各样的解决方法，也是差不多初学者都会遇到的问题。现在我总结一下，我的解决方法。
                ","Posted by
                    "
"
                    Arduino通过蓝牙控制舵机
                ","
                    一直以来想做智能蓝牙门锁的。然而先学习的上位机端，也就是先学习的 Android 和 IOS的Swift。 后来入了树莓派之后，这个想法又呼之而出。
                ","Posted by
                    "
"
                    Arduino与蓝牙通信
                ","
                    一直以来想做智能蓝牙门锁的。然而先学习的上位机端，也就是先学习的 Android 和 IOS的Swift。 后来入了树莓派之后，这个想法又呼之而出。
                ","
                 on 2016-07-08
            "
"
                    利用ssh远程配置树莓派
                ","
                    Secure Shell（缩写为SSH），由IETF的网络工作小组（Network Working Group）所制定；SSH为一项创建在应用层和传输层基础上的安全协议，为计算机上的Shell（壳层）提供安全的传输和使用环境。
                ","Posted by
                    "
"
                    通过vnc远程访问树莓派桌面
                ","
                    VNC（Virtual Network Computing），为一种使用RFB协议的屏幕画面分享及远程操作软件。此软件借由网络，可发送键盘与鼠标的动作及即时的屏幕画面。
                ","
                 on 2016-07-08
            "
"
                    树莓派2b＋的初次见面
                ","
                    刚好学习完python的语法，然后宿舍钥匙总是忘了带。被关外面了几次，于是我就想弄一个用手机控制的智能门锁。正好看到树莓派可以用python，顺便复习一下Linux，还能学习服务器知识和python实践。于是就入了一个树莓派。
                ","Posted by
                    "
"
                    极具效率的Mac环境配置
                ","
                    一直想写这么一篇文章，把我从同事那里学到的经验分享出来。市面上有很多类似的文章，写得都非常好，让我受益匪浅。不过我还是有一些自己总结出来的经验想要分享。
                ","
                 on 2016-06-01
            "
"
                    每个CS系的学生都应该知道的(转自简书)
                ","
                    考虑到计算机科学领域的膨胀增长，想要辨识现代计算机科学到底包含什么，成了一件有挑战性的事。我们系进行了这个讨论， 所以我整合一下自己的想法来当作这个问题的解答，“每个 CS 系的学生应当知道哪些事？”
                ","Posted by
                    "
"
                    推荐几个极好用的chrome插件
                ","
                    Mac这几天被我折腾恢复系统了。正好趁此机会好好的配置一下我这个完美主义者的Mac工作环境。先给大家推荐几款chrome插件。
                ","Posted by
                    "
"
                    本博客搭建教程及纪录
                ","
                    本博客是利用基于python平台的pelican搭建在了Github pages上。 搭建独立Blog的方式有很多。最简单，最炫酷，最好看的是Wordpress。拥有无数插件和主题，拥有一键安装脚本，直接把搭建独立的Blog的门槛拉到了0。但是 Wordpress 这种...
                ","
                 on 2016-04-25
            "
"
                    为什么我一直推荐Geek使用Mac OS X
                ","
                    这一年来使用Mac OS X的经历，不仅极大地开拓了我的视野，而且在很大程度上改变了我对待软件和命令行的态度。当然了，最重要的是，它使我的效率有了质的提升。
                ","Posted by
                    "
"
                    Wi-Fi破解完全教程
                ","
                    前言：
                ","
                 on 2016-04-19
            "
"
                    对苹果系统IOS的个人基本见解
                ","
                    测试机型：iPhone4s
                ","Posted by
                    "
"
                    在Linux下烧录51单片机
                ","
                    有些人说Linux下怎么开发单片机程序？ 我们学得都是在Windows下的开发工具和烧录工具。其实这只是中国的情况，中国大都是用Windows系统的。所以我们也只接触到Windows下的开发工具。在国外，许多大牛是不用Windows的。那么，他们如果要做单片机怎么办？
                ","
                 on 2016-04-19
            "
"
                    详解解sim卡
                ","
                    以前研究破解sim卡所总结的资料。
                ","Posted by
                    "
